artist,album,track,uri,track_id,album_name,track_name,duration_ms,explicit,popularity,danceability,energy,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_genre,artist_1,artist_2,artist_3,tempo_scaled,loudness_scaled
badfinger,straight up,baby blue - remastered 2010,spotify:track:6S3JlDAGk3uu3NtZbPnuhS,6s3jldagk3uu3ntzbpnuhs,straight up (remastered 2010 / deluxe edition),baby blue - remastered 2010,217346,0,67,0.623,0.876,1,0.066,0.0189,0.0134,0.0728,0.515,blues,badfinger,,,0.5112790296336472,0.1671388710023611
the kinks,kinks,you really got me,spotify:track:29SyMC0plk6qw8NMF7lfRL,6mcn8ywhqq1nkfvahvxfrz,classics (the best of the kinks),you really got me,132777,0,38,0.569,0.959,1,0.0996,0.0911,0.00026,0.0809,0.96,british,the kinks,,,0.5645431684828165,0.0794591113972955
souls of mischief,93 'til infinity,93 'til infinity,spotify:track:0PV1TFUMTBrDETzW6KQulB,0pv1tfumtbrdetzw6kqulb,93 'til infinity,93 'til infinity,286440,0,71,0.59,0.672,1,0.412,0.125,1.04e-06,0.147,0.688,hardcore,souls of mischief,,,0.8474557467580495,0.2530800600987337
autechre,amber,foil,spotify:track:7uXRhVsCHwKVV8gYeA5CXS,07c2miiiwvueqcnwxpho67,amber,foil,364733,0,37,0.501,0.365,0,0.107,0.685,0.942,0.129,0.158,idm,autechre,,,0.5097792679519418,0.3393432066967161
eric prydz,opus,opus,spotify:track:3v2oAQomhOcYCPPHafS3KV,3v2oaqomhocycpphafs3kv,opus,opus,543453,0,64,0.275,0.721,0,0.0359,0.000702,0.821,0.0792,0.184,progressive-house,eric prydz,,,0.5142580083164867,0.1335265078342993
ozzy osbourne,blizzard of ozz (expanded edition),mr. crowley,spotify:track:5XfWzGa5zuz88IOYbWNTMa,2ov8l95qd25tlpzazpywxl,blizzard of ozz (40th anniversary expanded edition),mr. crowley,302647,0,66,0.307,0.748,0,0.0568,0.212,0.000153,0.368,0.347,hard-rock,ozzy osbourne,,,0.4446978288381572,0.1397939471989697
fairport convention,unhalfbricking,who knows where the time goes?,spotify:track:43IYZ1zQpbXXWhGQEgjAjb,1kxtstkyjukbpqmzxh5i4q,meet on the ledge: the classic years (1967-1975),who knows where the time goes?,307293,0,49,0.518,0.175,1,0.0314,0.689,0.14,0.112,0.413,psych-rock,fairport convention,,,0.5939097348914418,0.3581884524576089
cream,wheels of fire,white room,spotify:track:3Xls4cNOwy01dtrNXb1inG,3xls4cnowy01dtrnxb1ing,wheels of fire,white room,298333,0,70,0.553,0.576,1,0.0304,0.191,0.00664,0.0365,0.457,blues,cream,,,0.4512721266209752,0.2888388066108607
the dave brubeck quartet,dave brubeck's greatest hits,take five,spotify:track:5UbLKRX1qVROlwDFOooEvG,1yqwostiljivxaghwtp7kp,time out,take five,324133,0,66,0.454,0.26,0,0.0401,0.539,0.00078,0.0675,0.598,jazz,the dave brubeck quartet,,,0.7162779613102576,0.2831508907490878
gang starr,full clip: a decade of gang starr,work,spotify:track:0FzxHygj55RdtuNhmSyGe5,1eilrpd8jmtcqur1aleuki,moment of truth,work,177666,1,66,0.787,0.832,1,0.301,0.0347,0.0,0.0593,0.814,hardcore,gang starr,,,0.3805121377972815,0.1002361021678472
